date,Food,meats,pork,beef,poultry,eggs,egg,seafood,vegetable,fruit,dairy,milk,oils,FAFH
1989-07-01,44.56,50.79,,,,54.57,,28.0,25.59,28.82,53.69,,55.65,51.81
1989-08-01,45.7,51.94,,,,63.94,,27.92,29.65,29.4,53.4,,54.6,52.07
1989-09-01,48.26,51.87,,,,65.89,,27.81,41.32,30.37,53.35,,54.11,52.63
1989-10-01,49.23,50.72,,,,66.72,,27.76,45.57,31.78,53.24,,54.33,52.96
1989-11-01,45.64,49.21,,,,56.73,,27.73,28.8,31.56,52.99,,54.34,52.95
1989-12-01,44.67,48.37,,,,58.67,,27.98,23.26,31.88,52.11,,54.19,53.17
1990-01-01,45.01,48.76,,,,58.04,,28.62,22.48,33.53,52.48,,54.13,53.5
1990-02-01,45.02,48.57,,,,51.4,,28.87,22.52,33.73,52.4,,53.92,53.64
1990-03-01,45.86,48.54,,,,55.77,,28.9,26.49,33.35,52.42,,54.15,53.95
1990-04-01,46.8,48.72,,,,48.71,,29.56,29.86,34.02,52.81,,54.03,54.67
1990-05-01,47.54,47.93,,,,43.33,,29.15,33.84,35.15,54.02,,54.62,54.8
1990-06-01,46.74,46.85,,,,39.56,,29.2,33.86,32.06,54.17,,55.28,54.87
1990-07-01,47.53,48.38,,,,40.72,,28.78,38.09,31.3,54.82,,55.2,54.98
1990-08-01,49.38,48.62,,,,48.92,,28.28,45.1,32.46,54.9,,55.17,55.68
1990-09-01,52.14,48.94,,,,47.76,,28.94,54.48,36.44,54.9,,55.15,56.05
1990-10-01,48.76,47.76,,,,38.66,,28.37,37.84,37.07,55.3,,55.86,56.2
1990-11-01,45.89,44.62,,,,41.98,,28.2,26.21,35.68,55.12,,55.88,56.26
1990-12-01,45.6,44.54,,,,42.89,,28.12,25.23,35.87,54.17,,55.76,56.26
1991-01-01,46.32,45.6,,,,45.54,,28.43,26.41,34.28,54.0,,55.84,57.08
1991-02-01,47.09,46.89,,,,46.88,,29.54,26.39,37.39,52.97,,56.29,57.26
1991-03-01,46.42,45.21,,,,41.6,,29.02,24.69,36.99,52.84,,56.16,57.25
1991-04-01,47.02,44.48,,,,41.37,,28.77,27.73,37.14,56.37,,55.77,57.28
1991-05-01,46.97,44.22,,,,41.3,,28.66,27.38,37.14,57.09,,55.59,57.26
1991-06-01,47.08,44.57,,,,38.91,,28.99,30.71,34.64,56.91,,55.25,57.25
1991-07-01,48.26,46.12,,,,44.97,,29.26,39.07,31.55,57.01,,55.34,57.83
1991-08-01,48.74,47.4,,,,45.95,,28.88,39.62,32.98,57.09,,55.48,58.0
1991-09-01,48.2,48.4,,,,48.03,,28.66,35.1,33.38,57.23,,55.18,58.0
1991-10-01,49.21,48.26,,,,49.03,,29.21,38.87,36.14,56.92,,54.89,57.91
1991-11-01,49.26,48.66,,,,50.13,,29.18,39.89,35.01,54.67,,54.96,58.05
1991-12-01,47.6,47.99,,,,52.78,,29.08,31.66,32.92,52.34,,55.09,58.02
1992-01-01,48.95,47.95,,,,56.54,,31.38,34.84,35.7,52.89,,55.51,58.3
1992-02-01,50.26,48.6,,,,59.46,,33.01,35.7,41.23,52.82,,55.58,58.61
1992-03-01,50.66,48.01,,,,56.61,,32.42,35.36,45.35,52.4,,55.22,59.15
1992-04-01,52.52,48.61,,,,50.26,,32.91,42.98,48.1,56.71,,54.79,59.37
1992-05-01,52.67,48.89,,,,48.37,,33.19,39.06,52.57,57.94,,54.78,59.41
1992-06-01,51.74,49.4,,,,43.54,,33.82,35.67,49.51,56.94,,54.46,59.43
1992-07-01,50.91,49.24,,,,49.52,,33.3,37.73,41.8,57.46,,54.84,59.35
1992-08-01,50.5,49.59,,,,49.83,,32.97,36.71,39.51,57.58,,54.9,59.62
1992-09-01,54.84,49.72,,,,56.24,,33.8,58.95,44.83,58.1,,54.92,59.7
1992-10-01,54.67,49.5,,,,50.7,,34.24,54.47,48.68,57.83,,54.4,59.71
1992-11-01,51.57,49.63,,,,53.42,,34.15,37.03,45.2,57.52,,54.27,59.72
1992-12-01,50.59,49.68,,,,48.61,,34.99,32.08,43.65,54.95,,53.84,59.85
1993-01-01,51.47,50.48,,,,49.67,,36.66,34.28,44.99,54.98,,53.79,60.01
1993-02-01,53.01,50.65,,,,54.85,,36.94,39.19,49.59,53.45,,54.54,60.18
1993-03-01,53.45,50.72,,,,55.45,,36.66,38.26,52.88,53.28,,54.53,60.62
1993-04-01,53.82,51.09,,,,48.96,,36.97,38.59,52.97,57.74,,54.7,60.87
1993-05-01,52.81,50.88,,,,45.11,,36.97,36.88,47.7,58.4,,54.73,60.86
1993-06-01,55.57,52.2,,,,49.15,,36.51,49.18,52.95,58.73,,54.62,60.89
1993-07-01,52.86,51.91,,,,46.13,,36.0,40.48,44.41,58.67,,54.78,60.97
1993-08-01,52.78,52.22,,,,50.17,,35.29,42.75,41.01,58.77,,55.05,61.09
1993-09-01,52.75,52.18,,,,48.92,,35.22,41.45,42.34,58.74,,55.28,61.24
1993-10-01,53.01,52.07,,,,48.77,,35.4,39.2,46.23,58.68,,55.43,61.21
1993-11-01,52.96,52.08,,,,49.9,,35.23,41.37,42.91,58.27,,55.72,61.26
1993-12-01,54.52,52.4,,,,53.54,,36.18,51.27,41.99,55.84,,55.15,61.27
1994-01-01,53.73,52.38,,,,56.76,,37.17,42.24,44.63,54.74,,55.62,61.33
1994-02-01,54.55,52.67,,,,56.07,,39.65,38.88,51.5,53.59,,55.77,61.38
1994-03-01,55.19,52.36,,,,51.9,,38.13,41.55,54.62,53.19,,56.18,61.8
1994-04-01,55.51,52.65,,,,51.29,,37.26,42.95,54.21,58.72,,55.97,61.89
1994-05-01,56.29,52.85,,,,48.43,,37.63,49.54,51.97,58.9,,56.18,61.95
1994-06-01,55.3,52.88,,,,46.81,,38.21,44.82,50.05,59.12,,56.45,62.14
1994-07-01,56.02,52.73,,,,51.53,,38.43,52.54,45.44,59.12,,56.52,62.56
1994-08-01,61.04,53.2,,,,66.37,,40.04,78.62,49.51,58.95,,56.41,62.75
1994-09-01,61.12,53.15,,,,50.59,,39.33,72.25,58.62,59.06,,56.53,63.03
1994-10-01,58.89,53.29,,,,51.71,,38.91,58.36,57.98,58.26,,56.49,63.08
1994-11-01,56.67,53.26,,,,52.28,,38.65,46.83,54.75,57.63,,56.75,63.04
1994-12-01,55.84,53.06,,,,50.67,,38.97,39.73,56.98,55.45,,57.14,63.11
1995-01-01,58.28,53.17,,,,57.61,,40.87,49.69,60.39,55.06,,57.11,63.36
1995-02-01,58.53,53.25,,,,57.88,,41.21,49.38,61.01,54.15,,57.35,63.6
1995-03-01,58.47,53.06,,,,65.85,,40.17,47.01,62.28,53.63,,58.44,64.09
1995-04-01,59.07,53.77,,,,51.46,,39.75,48.07,63.66,57.82,,58.83,64.44
1995-05-01,58.22,54.26,,,,50.56,,39.74,48.0,56.12,59.13,,58.93,64.68
1995-06-01,59.25,54.84,,,,48.71,,39.68,50.7,59.82,59.11,,58.74,64.99
1995-07-01,59.03,55.89,,,,49.0,,40.59,51.76,54.96,58.53,,59.08,65.19
1995-08-01,60.14,57.65,,,,49.52,,40.28,54.05,58.62,58.05,,59.52,65.27
1995-09-01,60.21,56.99,,,,50.6,,41.09,52.84,59.9,59.26,,59.42,65.54
1995-10-01,59.54,57.16,,,,51.36,,40.2,49.83,58.87,59.62,,59.53,65.57
1995-11-01,59.45,56.37,,,,55.03,,39.97,48.06,60.01,59.46,,59.45,65.65
1995-12-01,59.28,56.59,,,,55.72,,39.88,48.51,59.47,56.51,,59.25,65.18
1996-01-01,58.8,56.53,,,,56.47,,40.14,41.55,61.97,55.27,,59.19,65.92
1996-02-01,59.42,57.14,,,,60.4,,41.68,39.67,66.02,53.91,,59.05,66.06
1996-03-01,59.69,57.58,,,,57.22,,42.02,38.65,67.04,54.41,,59.25,66.72
1996-04-01,60.85,57.93,,,,58.21,,42.32,49.31,60.91,59.61,,59.4,66.95
1996-05-01,60.01,59.09,,,,58.45,,42.55,48.64,53.74,59.69,,59.27,66.94
1996-06-01,60.56,60.33,,,,52.02,,43.07,46.41,58.76,59.96,,59.38,67.02
1996-07-01,58.55,59.68,,,,53.84,,43.4,42.55,48.5,59.83,,59.07,67.28
1996-08-01,66.46,60.35,,,,60.34,,44.74,79.96,58.74,60.43,,59.28,67.49
1996-09-01,64.46,59.13,,,,51.59,,43.15,62.8,66.51,60.4,,59.1,67.75
1996-10-01,63.42,57.94,,,,50.49,,42.83,53.91,70.56,60.34,,59.22,67.71
1996-11-01,62.75,56.43,,,,51.42,,42.36,50.74,70.74,60.41,,58.96,67.85
1996-12-01,61.62,55.06,,,,51.33,,43.19,48.93,66.22,56.71,,58.87,67.93
1997-01-01,60.28,54.73,,,,52.7,,43.72,39.28,66.52,55.58,,58.92,67.97
1997-02-01,61.07,55.71,,,,53.59,,45.83,41.34,66.8,54.55,,58.44,68.05
1997-03-01,59.77,53.48,,,,48.94,,45.0,38.87,63.35,54.18,,58.16,68.3
1997-04-01,59.48,50.9,,,,52.72,,45.06,41.5,59.52,59.59,,57.9,68.53
1997-05-01,59.12,55.09,,,,46.97,,44.98,40.75,53.81,60.12,,59.22,68.72
1997-06-01,61.82,57.38,,,,53.4,,45.19,55.08,54.44,62.06,,59.89,68.72
1997-07-01,62.85,56.61,,,,47.79,,45.7,57.34,60.78,62.86,,59.42,68.73
1997-08-01,63.32,55.52,,,,50.94,,45.36,58.46,63.64,63.16,,59.48,68.79
1997-09-01,63.46,53.53,,,,49.99,,45.05,61.37,62.97,63.13,,59.78,68.86
1997-10-01,60.72,48.61,,,,46.54,,43.88,50.8,61.69,62.59,,59.31,68.93
1997-11-01,59.61,49.1,,,,48.64,,43.39,45.34,59.31,62.25,,59.68,68.68
1997-12-01,59.86,48.89,,,,50.17,,43.87,41.25,64.52,60.09,,60.17,69.45
1998-01-01,60.27,49.95,,,,52.42,,44.96,43.07,64.17,57.71,,60.07,69.56
1998-02-01,61.99,50.79,,,,51.29,,45.76,55.74,62.6,58.14,,60.58,69.92
1998-03-01,63.31,50.64,,,,52.85,,45.01,67.23,63.54,57.49,,60.6,69.16
1998-04-01,62.51,51.69,,,,49.98,,44.5,52.89,67.82,64.89,,61.51,69.28
1998-05-01,61.7,51.48,,,,49.08,,45.05,48.07,65.17,65.05,,60.91,69.45
1998-06-01,64.44,51.57,,,,50.74,,46.03,58.29,76.6,65.62,,61.57,69.52
1998-07-01,64.12,52.53,,,,57.14,,46.65,54.47,73.88,65.17,,61.74,70.68
1998-08-01,63.8,54.9,,,,61.38,,46.56,53.84,69.27,64.82,,61.4,70.6
1998-09-01,64.55,60.98,,,,65.23,,46.52,52.31,69.71,65.19,,61.96,71.1
1998-10-01,65.74,60.47,,,,58.36,,46.94,65.03,66.16,65.33,,62.08,71.18
1998-11-01,67.4,59.6,,,,66.14,,46.09,79.5,67.18,64.88,,62.02,70.73
1998-12-01,63.73,58.52,,,,66.37,,46.61,54.24,64.45,61.07,,61.93,70.75
1999-01-01,63.27,60.5,,,,64.56,,46.99,44.33,68.3,60.4,,61.87,71.3
1999-02-01,63.3,62.47,,,,69.57,,47.7,37.85,72.49,59.05,,62.0,71.43
1999-03-01,62.07,58.65,,,,61.64,,47.03,36.41,68.23,58.91,,62.06,71.21
1999-04-01,61.69,58.78,,,,61.53,,46.56,39.81,60.0,65.08,,61.99,70.79
1999-05-01,62.38,59.2,,,,59.57,,47.31,43.9,61.34,65.31,,62.21,70.39
1999-06-01,62.02,61.44,,,,52.85,,47.93,42.42,56.21,65.0,,61.46,71.45
1999-07-01,61.78,61.19,,,,51.54,,48.19,45.85,50.52,64.39,,62.11,71.59
1999-08-01,65.08,61.76,,,,55.26,,48.64,60.57,62.19,64.92,,61.29,71.6
1999-09-01,64.57,60.54,,,,52.17,,48.5,53.82,65.65,64.66,,61.95,71.83
1999-10-01,65.0,58.86,,,,53.23,,48.31,57.34,66.77,64.82,,61.8,71.84
1999-11-01,64.07,57.99,,,,50.84,,47.91,52.21,65.31,64.93,,61.94,71.84
1999-12-01,62.82,57.64,,,,51.96,,47.88,46.14,63.28,61.21,,61.28,71.8
2000-01-01,62.83,56.95,,,,53.07,,48.61,43.75,65.88,60.24,,61.64,71.84
2000-02-01,63.24,57.03,,,,50.73,,50.31,43.59,68.74,58.78,,60.67,71.88
2000-03-01,62.35,56.16,,,,49.4,,49.88,43.8,61.66,58.49,,61.57,71.89
2000-04-01,62.0,55.16,,,,49.1,,49.67,40.98,61.51,62.99,,61.21,71.67
2000-05-01,63.32,55.44,,,,46.38,,50.02,44.64,68.07,64.58,,60.88,71.7
2000-06-01,62.4,56.13,,,,47.38,,50.35,43.51,59.67,64.48,,61.11,72.24
2000-07-01,62.17,55.87,,,,51.03,,49.95,46.72,54.76,64.81,,60.18,72.38
2000-08-01,63.52,56.21,,,,49.97,,49.15,52.52,61.13,65.18,,59.18,72.23
2000-09-01,65.1,55.85,,,,52.33,,49.04,61.83,65.5,64.53,,60.42,72.48
2000-10-01,64.13,55.95,,,,51.39,,47.54,52.15,68.86,64.64,,60.46,72.43
2000-11-01,66.19,55.7,,,,56.73,,47.59,69.53,68.19,63.82,,59.74,72.41
2000-12-01,63.76,55.33,,,,54.38,,46.32,54.98,65.58,60.09,,59.23,72.49
2001-01-01,62.5,55.0,,,,55.42,,47.41,43.84,66.21,60.2,,59.06,72.54
2001-02-01,61.62,54.66,,,,51.4,,47.09,38.37,64.62,59.94,,59.27,72.54
2001-03-01,61.05,54.56,,,,56.85,,46.22,35.71,62.85,60.89,,60.08,72.53
2001-04-01,61.58,54.48,,,,51.77,,46.45,41.74,59.93,64.28,,58.84,72.63
2001-05-01,61.66,53.89,,,,50.52,,46.07,41.02,62.12,65.29,,60.01,72.57
2001-06-01,61.58,53.99,,,,46.61,,46.2,45.75,57.5,65.56,,59.93,72.21
2001-07-01,61.75,53.78,,,,46.56,,46.89,47.13,58.71,65.72,,59.51,71.57
2001-08-01,63.83,53.72,,,,49.61,,46.75,55.32,66.95,65.62,,59.54,72.0
2001-09-01,65.12,54.42,,,,50.65,,46.87,63.36,69.29,65.26,,59.4,71.99
2001-10-01,67.2,53.93,,,,49.25,,46.36,80.58,69.28,65.15,,59.08,72.12
2001-11-01,64.64,53.96,,,,46.71,,45.88,61.34,67.65,63.68,,59.04,72.43
2001-12-01,61.65,54.15,,,,47.94,,45.63,40.14,64.66,61.86,,58.9,72.55
2002-01-01,62.46,54.05,,,,49.47,,46.05,36.68,63.97,61.46,,59.15,72.6
2002-02-01,62.8,55.75,,,,53.08,,47.58,37.3,63.38,60.69,,58.81,72.6
2002-03-01,62.39,54.55,,,,48.0,,45.98,39.44,60.12,61.1,,58.68,72.51
2002-04-01,62.54,54.52,,,,48.38,,45.5,45.31,53.85,64.69,,58.9,72.34
2002-05-01,61.68,53.71,,,,45.15,,46.29,40.13,51.94,65.3,,58.31,72.43
2002-06-01,62.1,54.37,,,,43.29,,46.45,43.57,51.97,64.76,,57.76,72.48
2002-07-01,63.27,53.81,,,,48.19,,47.14,50.89,53.88,65.45,,58.48,72.37
2002-08-01,63.82,54.11,,,,48.41,,46.47,52.32,58.19,64.53,,57.8,72.49
2002-09-01,63.01,54.31,,,,51.84,,46.07,46.77,56.8,64.7,,58.53,72.64
2002-10-01,63.13,54.01,,,,49.54,,46.09,46.58,58.54,65.27,,58.45,72.56
2002-11-01,63.1,54.14,,,,52.86,,46.15,46.7,57.87,66.02,,58.45,72.61
2002-12-01,62.57,54.2,,,,53.18,,45.99,47.99,54.14,62.91,,57.49,72.56
2003-01-01,63.56,54.0,,,,56.48,,47.21,53.64,54.39,62.13,,57.54,72.61
2003-02-01,62.03,54.06,,,,57.06,,47.5,42.02,54.0,61.95,,57.39,72.62
2003-03-01,61.16,53.75,,,,53.54,,47.12,36.54,53.98,62.67,,58.54,72.23
2003-04-01,62.09,54.28,,,,56.76,,47.27,41.34,54.59,65.14,,58.22,72.17
2003-05-01,62.79,54.15,,,,50.45,,48.03,45.49,56.84,64.51,,58.52,71.93
2003-06-01,62.06,54.45,,,,49.4,,48.36,48.64,46.91,64.83,,57.79,71.37
2003-07-01,61.86,54.43,,,,49.84,,48.32,49.16,44.91,64.46,,57.38,71.1
2003-08-01,62.79,55.51,,,,56.35,,47.7,51.91,49.38,65.13,,56.91,71.03
2003-09-01,63.23,56.11,,,,49.7,,47.84,54.52,49.7,65.07,,57.94,71.11
2003-10-01,64.22,56.17,,,,51.49,,47.24,57.43,54.57,64.81,,58.37,71.25
2003-11-01,63.13,56.08,,,,52.58,,46.86,49.61,54.74,65.22,,58.83,71.2
2003-12-01,63.36,56.28,,,,56.45,,46.88,48.02,58.38,62.47,,58.85,71.76
2004-01-01,62.72,56.7,,,,59.2,,48.12,41.27,60.27,62.64,,57.78,71.6
2004-02-01,63.61,56.48,,,,54.63,,48.6,43.05,63.59,62.84,,58.08,72.17
2004-03-01,63.69,56.96,,,,56.42,,48.87,40.88,66.75,63.18,,59.42,71.72
2004-04-01,63.98,57.66,,,,54.75,,49.2,44.5,62.13,65.93,,61.39,71.59
2004-05-01,63.72,58.85,,,,52.33,,48.75,44.35,58.33,66.49,,63.35,71.86
2004-06-01,63.85,59.04,,,,52.82,,48.73,48.25,53.44,66.5,,63.23,72.11
2004-07-01,67.72,59.64,,,,54.31,,49.63,74.7,52.53,66.4,,63.36,72.69
2004-08-01,67.25,60.6,,,,53.0,,49.78,63.47,63.03,66.24,,61.94,72.46
2004-09-01,68.41,60.33,,,,58.05,,49.95,72.28,62.1,66.12,,62.35,72.49
2004-10-01,68.35,60.17,,,,61.08,,50.13,65.16,68.55,66.15,,62.37,72.78
